tau_fs,N_CWE_caseA,N_UPPE_caseA,cost_CWE_caseA,cost_UPPE_caseA,ratio_caseA,N_CWE_caseB,N_UPPE_caseB,cost_CWE_caseB,cost_UPPE_caseB,ratio_caseB
690.224795577271,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
714.6091974129571,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
739.8550563517439,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
765.9928061252198,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
793.0539556340265,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
821.0711269316604,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
850.0780945501429,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
880.1098262150255,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
911.2025249987843,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
943.3936729633857,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
976.7220763446978,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
1011.2279123331866,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
1046.9527775072513,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
1083.9397379776817,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
1122.2333813035686,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
1161.8798702423546,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
1202.9269983987533,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
1245.424247839672,32,16384,480.0,229376.0,477.8666666666667,32,16384,480.0,229376.0,477.8666666666667
